country,cases_total,cases_total_per_100000_pop,cases_7_days ,cases_7_days_per_100000_pop,cases_24_hours,deaths_total,deaths_total_per_100000_pop,deaths_7_days,deaths_7_days_per_100000_pop,deaths_24_hours,fully_vacc_per_100_pop
Global,259502031,3329.279458,3980811,51.07178636,611528,5183003,66.49530006,52000,0.66713363,7881,
United States of America,47802459,14441.715,666617,201.393,100455,771529,233.088,10338,3.123,1367,
India,34555431,2504.009,65808,4.769,10549,467468,33.874,2386,0.173,488,29.924
Brazil,22043112,10370.33,65451,30.792,12930,613339,288.549,1488,0.7,273,58.523
The United Kingdom,10021501,14762.249,299581,441.3,46654,144433,212.758,874,1.287,147,67.835
Russian Federation,9502879,6511.744,245811,168.439,34690,270292,185.215,8703,5.964,1235,36.714
Turkey,8676639,10287.805,173419,205.621,24467,75840,89.923,1412,1.674,222,
France,7285128,11201.107,162391,249.681,33320,116314,178.836,412,0.633,72,
Iran (Islamic Republic of),6092822,7253.968,29047,34.583,0,129280,153.918,646,0.769,0,
Germany,5650170,6793.788,401879,483.221,76414,100476,120.813,1737,2.089,357,
Argentina,5319867,11770.718,9533,21.093,2234,116458,257.675,145,0.321,43,
Spain,5121100,10819.39,43515,91.934,5541,87931,185.773,93,0.196,5,
Colombia,5055253,9935.074,16709,32.838,2520,128236,252.022,324,0.637,48,45.181
Italy,4968341,8330.344,74454,124.836,13756,133486,223.814,452,0.758,71,
Indonesia,4255268,1555.722,2563,0.937,453,143796,52.572,82,0.03,14,33.094
Mexico,3872263,3003.32,12682,9.836,4287,293186,227.395,849,0.658,336,49.398
Poland,3461066,9118.113,157810,415.747,26735,82607,217.627,2207,5.814,421,
Ukraine,3400340,7775.092,96282,220.155,15936,84149,192.412,3918,8.959,608,
South Africa,2952500,4978.191,25001,42.154,2465,89771,151.362,216,0.364,114,23.397
Philippines,2829618,2582.214,7865,7.177,975,47875,43.689,1453,1.326,193,30.107
Malaysia,2608979,8060.864,39446,121.875,6144,30195,93.292,303,0.936,48,
Netherlands,2534137,14557.66,155523,893.421,22274,19158,110.055,298,1.712,61,
Peru,2228212,6757.921,10010,30.359,1556,200961,609.493,220,0.667,30,
Thailand,2094886,3001.27,43906,62.903,6559,20645,29.577,340,0.487,64,
Czechia,2089857,19542.444,131731,1231.829,27717,32643,305.248,665,6.218,48,
Iraq,2077665,5165.431,5187,12.896,743,23748,59.042,141,0.351,23,11.11
Canada,1774946,4702.821,18123,48.018,2627,29580,78.374,149,0.395,25,76.296
Romania,1771887,9167.064,16708,86.441,2104,55829,288.838,1486,7.688,212,
Chile,1751769,9163.793,16582,86.743,2670,38218,199.925,169,0.884,43,
Japan,1726823,1365.332,760,0.601,118,18353,14.511,11,0.009,1,75.95
Belgium,1679861,14579.039,87601,760.264,7,26793,232.529,227,1.97,5,
Bangladesh,1575185,956.458,1474,0.895,0,27970,16.983,24,0.015,0,
Israel,1341211,15495.403,3589,41.465,524,8182,94.529,12,0.139,0,
Pakistan,1283223,580.927,2401,1.087,363,28690,12.988,52,0.024,13,
Serbia,1244169,17961.917,18927,273.247,2677,11433,165.057,371,5.356,48,
Sweden,1196688,11587.293,9101,88.123,2047,15142,146.617,7,0.068,0,
Viet Nam,1168228,1200.17,102759,105.569,12450,24407,25.074,931,0.956,164,
Portugal,1133241,11006.712,18161,176.39,3150,18385,178.566,90,0.874,15,
Austria,1107425,12441.49,96444,1083.511,14330,11825,132.849,300,3.37,66,
Hungary,1068888,10941.043,70400,720.608,11871,33866,346.649,1086,11.116,162,
Kazakhstan,1050700,5595.763,7244,38.58,1063,17765,94.612,140,0.746,14,
Switzerland,974324,11257.851,34252,395.766,7,11022,127.354,60,0.693,0,
Cuba,961698,8490.603,1829,16.148,240,8299,73.27,10,0.088,0,
Morocco,949263,2571.792,630,1.707,0,14770,40.016,15,0.041,0,
Jordan,928256,9097.754,22518,220.697,0,11429,112.015,119,1.166,0,
Greece,908222,8473.354,47105,439.471,6561,17693,165.069,618,5.766,81,
Georgia,831248,20837.592,26677,668.735,4534,11810,296.051,458,11.481,74,
Nepal,820527,2816.118,1949,6.689,242,11518,39.531,24,0.082,2,
United Arab Emirates,741720,7499.392,506,5.116,77,2145,21.688,1,0.01,0,
Tunisia,716702,6064.177,714,6.041,0,25356,214.543,26,0.22,0,
Bulgaria,684922,9852.892,16559,238.208,2370,27891,401.224,906,13.033,113,
Lebanon,662269,9702.942,6077,89.034,0,8676,127.113,60,0.879,0,
Slovakia,651234,11932.011,57992,1062.538,9331,14177,259.753,396,7.256,70,
Belarus,646743,6844.333,12012,127.12,1674,5010,53.02,109,1.154,15,
Guatemala,616554,3441.443,5180,28.913,829,15885,88.666,110,0.614,15,
Croatia,589015,14514.319,30745,757.608,6246,10569,260.438,456,11.237,64,
Azerbaijan,580507,5725.387,12418,122.475,1880,7736,76.298,185,1.825,27,
Costa Rica,566296,11116.664,1200,23.557,177,7280,142.91,39,0.766,9,
Sri Lanka,560345,2616.814,5141,24.009,0,14232,66.464,146,0.682,0,
Saudi Arabia,549618,1578.733,241,0.692,28,8829,25.361,8,0.023,1,
Ireland,546909,11016.53,31218,628.832,4763,5652,113.85,43,0.866,0,
Bolivia (Plurinational State of),532631,4562.923,6325,54.185,1203,19104,163.659,61,0.523,8,
Ecuador,524432,2972.456,1649,9.346,0,33128,187.768,22,0.125,0,
Myanmar,520213,956.102,3443,6.328,0,19058,35.027,58,0.107,0,
Panama,476611,11046.043,1445,33.49,268,7358,170.531,9,0.209,2,
Denmark,466817,8017.105,28006,480.974,4390,2841,48.791,49,0.842,12,
Lithuania,464562,16626.594,12294,440,2131,6644,237.788,183,6.55,17,
Paraguay,462453,6483.709,344,4.823,64,16365,229.441,22,0.308,1,
"occupied Palestinian territory, including east Jerusalem",459479,9006.895,1529,29.972,266,4789,93.876,19,0.372,1,
Republic of Korea,432901,844.369,23802,46.426,3901,3440,6.71,225,0.439,39,
Venezuela (Bolivarian Republic of),427418,1503.091,5189,18.248,619,5104,17.949,55,0.193,7,
Kuwait,413198,9675.474,108,2.529,0,2465,57.721,1,0.023,0,
Slovenia,411301,19624.441,19597,935.033,2668,5461,260.561,49,2.338,0,
Dominican Republic,405513,3738.167,5740,52.913,759,4197,38.689,15,0.138,2,50.873
Uruguay,398436,11469.976,1293,37.222,223,6119,176.151,14,0.403,3,
Mongolia,380325,11601.323,3788,115.548,586,1908,58.201,56,1.708,5,
Honduras,377712,3813.498,419,4.23,123,10402,105.022,29,0.293,4,
Ethiopia,370886,322.612,1219,1.06,174,6714,5.84,59,0.051,6,
Libya,370187,5387.444,3398,49.452,732,5425,78.952,79,1.15,11,
Republic of Moldova,361116,8951.892,4668,115.717,855,8985,222.734,276,6.842,35,
Egypt,353024,344.971,5305,5.184,0,20109,19.65,329,0.321,0,
Armenia,337005,11372.878,4292,144.842,675,7459,251.718,247,8.335,40,
Oman,304519,5963.213,53,1.038,5,4113,80.542,0,0,0,
Bahrain,277481,16307.304,177,10.402,0,1394,81.924,1,0.059,0,
Bosnia and Herzegovina,272063,8292.543,4212,128.383,740,12412,378.321,232,7.071,26,
